Time,In_column_Top
5151,302.1765
5152,302.1765
5153,302.1735
5154,302.1685
5155,302.1685
5156,302.1645
5157,302.1625
5158,302.1625
5159,302.1685
5160,302.1685
5161,302.1675
5162,302.1645
5163,302.1645
5164,302.1645
5165,302.1645
5166,302.1645
5167,302.1535
5168,302.1535
5169,302.1595
5170,302.1725
5171,302.1725
5172,302.1705
5173,302.1695
5174,302.1695
5175,302.1765
5176,302.1775
5177,302.1755
5178,302.1665
5179,302.1665
5180,302.1695
5181,302.1725
5182,302.1725
5183,302.1675
5184,302.1665
5185,302.1665
5186,302.1665
5187,302.1665
5188,302.1645
5189,302.1615
5190,302.1615
5191,302.1715
5192,302.1745
5193,302.1745
5194,302.1675
5195,302.1675
5196,302.1705
5197,302.1765
5198,302.1765
5199,302.1715
5200,302.1695
5201,302.1695
5202,302.1675
5203,302.1675
5204,302.1665
5205,302.1635
5206,302.1635
5207,302.1655
5208,302.1675
5209,302.1675
5210,302.1655
5211,302.1655
5212,302.1645
5213,302.1625
5214,302.1625
5215,302.1625
5216,302.1625
5217,302.1625
5218,302.1635
5219,302.1635
5220,302.1625
5221,302.1575
5222,302.1575
5223,302.1575
5224,302.1585
5225,302.1585
5226,302.1605
5227,302.1605
5228,302.1605
5229,302.1645
5230,302.1645
5231,302.1655
5232,302.1675
5233,302.1675
5234,302.1615
5235,302.1595
5236,302.1595
5237,302.1484
5238,302.1484
5239,302.1514
5240,302.1595
5241,302.1595
5242,302.1615
5243,302.1635
5244,302.1635
5245,302.1585
5246,302.1585
5247,302.1585
5248,302.1575
5249,302.1575
5250,302.1555
5251,302.1545
5252,302.1545
5253,302.1555
5254,302.1555
5255,302.1545
5256,302.1514
5257,302.1514
5258,302.1555
5259,302.1595
5260,302.1595
5261,302.1525
5262,302.1494
5263,302.1504
5264,302.1555
5265,302.1555
5266,302.1565
5267,302.1585
5268,302.1585
5269,302.1494
5270,302.1464
5271,302.1464
5272,302.1464
5273,302.1464
5274,302.1484
5275,302.1525
5276,302.1525
5277,302.1514
5278,302.1514
5279,302.1514
5280,302.1474
5281,302.1474
5282,302.1484
5283,302.1525
5284,302.1525
5285,302.1535
5286,302.1535
5287,302.1535
5288,302.1474
5289,302.1474
5290,302.1484
5291,302.1525
5292,302.1525
5293,302.1464
5294,302.1424
5295,302.1424
5296,302.1464
5297,302.1464
5298,302.1454
5299,302.1414
5300,302.1414
5301,302.1384
5302,302.1354
5303,302.1354
5304,302.1464
5305,302.1494
5306,302.1494
5307,302.1424
5308,302.1424
5309,302.1424
5310,302.1434
5311,302.1434
5312,302.1354
5313,302.1304
5314,302.1304
5315,302.1374
5316,302.1374
5317,302.1384
5318,302.1414
5319,302.1414
5320,302.1374
5321,302.1344
5322,302.1344
5323,302.1404
5324,302.1404
5325,302.1404
5326,302.1414
5327,302.1414
5328,302.1384
5329,302.1354
5330,302.1354
5331,302.1384
5332,302.1384
5333,302.1384
5334,302.1374
5335,302.1374
5336,302.1384
5337,302.1394
5338,302.1394
5339,302.1394
5340,302.1394
5341,302.1384
5342,302.1344
5343,302.1344
5344,302.1314
5345,302.1284
5346,302.1284
5347,302.1364
5348,302.1394
5349,302.1394
5350,302.1314
5351,302.1314
5352,302.1324
5353,302.1344
5354,302.1344
5355,302.1334
5356,302.1334
5357,302.1334
5358,302.1314
5359,302.1314
5360,302.1334
5361,302.1384
5362,302.1384
5363,302.1354
5364,302.1334
5365,302.1334
5366,302.1324
5367,302.1324
5368,302.1334
5369,302.1374
5370,302.1374
5371,302.1344
5372,302.1314
5373,302.1314
5374,302.1284
5375,302.1274
5376,302.1264
5377,302.1224
5378,302.1224
5379,302.1224
5380,302.1234
5381,302.1234
5382,302.1274
5383,302.1294
5384,302.1294
5385,302.1274
5386,302.1274
5387,302.1274
5388,302.1274
5389,302.1274
5390,302.1264
5391,302.1264
5392,302.1264
5393,302.1294
5394,302.1294
5395,302.1304
5396,302.1334
5397,302.1334
5398,302.1264
5399,302.1224
5400,302.1224
5401,302.1224
5402,302.1224
5403,302.1224
5404,302.1214
5405,302.1214
5406,302.1284
5407,302.1354
5408,302.1354
5409,302.1324
5410,302.1324
5411,302.1324
5412,302.1304
5413,302.1304
5414,302.1334
5415,302.1374
5416,302.1374
5417,302.1364
5418,302.1364
5419,302.1364
5420,302.1334
5421,302.1334
5422,302.1364
5423,302.1414
5424,302.1414
5425,302.1384
5426,302.1374
5427,302.1374
5428,302.1394
5429,302.1394
5430,302.1364
5431,302.1284
5432,302.1284
5433,302.1324
5434,302.1344
5435,302.1344
5436,302.1444
5437,302.1454
5438,302.1434
5439,302.1374
5440,302.1374
5441,302.1424
5442,302.1464
5443,302.1464
5444,302.1444
5445,302.1444
5446,302.1434
5447,302.1414
5448,302.1414
5449,302.1394
5450,302.1374
5451,302.1374
5452,302.1424
5453,302.1434
5454,302.1434
5455,302.1404
5456,302.1404
5457,302.1414
5458,302.1424
5459,302.1424
5460,302.1454
5461,302.1464
5462,302.1464
5463,302.1494
5464,302.1494
5465,302.1484
5466,302.1464
5467,302.1464
5468,302.1424
5469,302.1404
5470,302.1404
5471,302.1514
5472,302.1514
5473,302.1494
5474,302.1454
5475,302.1454
5476,302.1444
5477,302.1434
5478,302.1434
5479,302.1424
5480,302.1424
5481,302.1424
5482,302.1434
5483,302.1434
5484,302.1414
5485,302.1404
5486,302.1404
5487,302.1394
5488,302.1394
5489,302.1424
5490,302.1545
5491,302.1545
5492,302.1545
5493,302.1555
5494,302.1555
5495,302.1504
5496,302.1484
5497,302.1494
5498,302.1535
5499,302.1535
5500,302.1484
5501,302.1414
5502,302.1414
5503,302.1444
5504,302.1454
5505,302.1454
5506,302.1575
5507,302.1575
5508,302.1535
5509,302.1454
5510,302.1454
5511,302.1474
5512,302.1484
5513,302.1484
5514,302.1464
5515,302.1464
5516,302.1444
5517,302.1394
5518,302.1394
5519,302.1474
5520,302.1525
5521,302.1525
5522,302.1494
5523,302.1494
5524,302.1474
5525,302.1354
5526,302.1354
5527,302.1394
5528,302.1434
5529,302.1434
